time,cwnd,ssthresh
0.002000,2.000000,64
0.002000,3.000000,64
0.002000,4.000000,64
0.002000,5.000000,64
0.003000,6.000000,64
0.003000,7.000000,64
0.003000,8.000000,64
0.003000,9.000000,64
0.003000,10.000000,64
0.003000,11.000000,64
0.003000,12.000000,64
0.004000,13.000000,64
0.004000,14.000000,64
0.004000,15.000000,64
0.004000,16.000000,64
0.004000,17.000000,64
0.004000,18.000000,64
0.004000,19.000000,64
0.004000,20.000000,64
0.004000,21.000000,64
0.005000,22.000000,64
0.005000,23.000000,64
0.005000,24.000000,64
0.005000,25.000000,64
0.005000,26.000000,64
0.005000,27.000000,64
0.005000,28.000000,64
0.005000,29.000000,64
0.006000,29.000000,64
0.006000,29.000000,64
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.058823,14
0.006000,17.117443,14
0.006000,17.175863,14
0.007000,17.234085,14
0.007000,17.292110,14
0.007000,17.349939,14
0.007000,17.407576,14
0.007000,17.465021,14
0.007000,17.522278,14
0.007000,17.579348,14
0.007000,17.636232,14
0.007000,17.692934,14
0.007000,17.749454,14
0.007000,17.805794,14
0.007000,17.861956,14
0.007000,17.917940,14
0.007000,17.973751,14
0.007000,18.029388,14
0.008000,18.084854,14
0.008000,18.140148,14
0.008000,18.140148,14
0.008000,18.140148,14
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.083333,9
0.008000,12.166092,9
0.008000,12.248287,9
0.008000,12.248287,9
0.008000,12.248287,9
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.111111,6
0.009000,9.220867,6
0.009000,9.329317,6
0.009000,9.436506,6
0.009000,9.436506,6
0.009000,9.436506,6
0.009000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.142857,4
0.010000,7.282857,4
0.010000,7.420166,4
0.010000,7.554934,4
0.010000,7.687297,4
0.010000,7.817382,4
0.010000,7.945302,4
0.010000,8.071162,4
0.010000,8.195060,4
0.011000,8.195060,4
0.011000,8.195060,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.142857,4
0.011000,7.282857,4
0.011000,7.420166,4
0.011000,7.554934,4
0.011000,7.687297,4
0.011000,7.817382,4
0.011000,7.945302,4
0.011000,8.071162,4
0.011000,8.195060,4
0.011000,8.317084,4
0.012000,8.437319,4
0.012000,8.555840,4
0.012000,8.672719,4
0.012000,8.788023,4
0.012000,8.901814,4
0.012000,9.014152,4
0.012000,9.125089,4
0.012000,9.234676,4
0.012000,9.342964,4
0.012000,9.449997,4
0.012000,9.555817,4
0.012000,9.660465,4
0.012000,9.763980,4
0.012000,9.866397,4
0.012000,9.967752,4
0.012000,10.068075,4
0.013000,10.167399,4
0.013000,10.265753,4
0.013000,10.363164,4
0.013000,10.459660,4
0.013000,10.555265,4
0.013000,10.650005,4
0.013000,10.650005,4
0.013000,10.650005,4
0.013000,8.000000,5
0.013000,8.000000,5
0.013000,8.000000,5
0.013000,8.000000,5
0.013000,8.000000,5
0.014000,8.000000,5
0.014000,8.000000,5
0.014000,8.125000,5
0.014000,8.248077,5
0.014000,8.369318,5
0.014000,8.488802,5
0.014000,8.606605,5
0.014000,8.722795,5
0.014000,8.837437,5
0.014000,8.950592,5
0.014000,9.062317,5
0.014000,9.172664,5
0.014000,9.281683,5
0.014000,9.389422,5
0.014000,9.495925,5
0.015000,9.601233,5
0.015000,9.705387,5
0.015000,9.808423,5
0.015000,9.910377,5
0.015000,10.011281,5
0.015000,10.111168,5
0.015000,10.210069,5
0.015000,10.308011,5
0.015000,10.405023,5
0.015000,10.501130,5
0.015000,10.596358,5
0.015000,10.690730,5
0.015000,10.784269,5
0.015000,10.876997,5
0.015000,10.968934,5
0.015000,11.060101,5
0.015000,11.150516,5
0.016000,11.240197,5
0.016000,11.329164,5
0.016000,11.417431,5
0.016000,11.505016,5
0.016000,11.591935,5
0.016000,11.678202,5
0.016000,11.763831,5
0.016000,11.848838,5
0.016000,11.933234,5
0.016000,12.017034,5
0.016000,12.100248,5
0.016000,12.182891,5
0.016000,12.264974,5
0.016000,12.346507,5
0.016000,12.427502,5
0.017000,12.507968,5
0.017000,12.587917,5
0.017000,12.667358,5
0.017000,12.746302,5
0.017000,12.824756,5
0.017000,12.902730,5
0.017000,12.980233,5
0.017000,13.057274,5
0.017000,13.057274,5
0.017000,13.057274,5
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.018000,9.111111,6
0.018000,9.220867,6
0.018000,9.329317,6
0.018000,9.329317,6
0.018000,9.329317,6
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
